t=2026-01-10T13:05:39+0100 lvl=info msg="no configuration paths supplied"
t=2026-01-10T13:05:39+0100 lvl=warn msg="ngrok config file found at legacy location, move to XDG location" xdg_path="/Users/fabulous/Library/Application Support/ngrok/ngrok.yml" legacy_path=/Users/fabulous/.ngrok2/ngrok.yml
t=2026-01-10T13:05:39+0100 lvl=info msg="using configuration at default config path" path=/Users/fabulous/.ngrok2/ngrok.yml
t=2026-01-10T13:05:39+0100 lvl=info msg="open config file" path=/Users/fabulous/.ngrok2/ngrok.yml err=nil
t=2026-01-10T13:05:39+0100 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-01-10T13:05:40+0100 lvl=info msg="client session established" obj=tunnels.session
t=2026-01-10T13:05:40+0100 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-01-10T13:09:34+0100 lvl=info msg="join connections" obj=join id=937eb3a4b788 l=[::1]:3000 r=105.112.126.129:26896
t=2026-01-10T13:09:34+0100 lvl=info msg="join connections" obj=join id=1bdb89adbdab l=[::1]:3000 r=105.112.126.129:26896
t=2026-01-10T13:09:34+0100 lvl=info msg="join connections" obj=join id=6bb8c1f20d8a l=[::1]:3000 r=105.112.126.129:26896
t=2026-01-10T13:09:35+0100 lvl=info msg="join connections" obj=join id=0c61f04d9c15 l=[::1]:3000 r=105.112.126.129:26896
t=2026-01-10T13:09:36+0100 lvl=info msg="join connections" obj=join id=974d342e6589 l=[::1]:3000 r=105.112.126.129:26897
t=2026-01-10T13:09:36+0100 lvl=info msg="join connections" obj=join id=6f8c17d7fedf l=[::1]:3000 r=105.112.126.129:26896
t=2026-01-10T13:10:11+0100 lvl=info msg="join connections" obj=join id=89b4bbd2c941 l=[::1]:3000 r=105.112.126.129:26896
t=2026-01-10T13:10:51+0100 lvl=info msg="join connections" obj=join id=019a07b9f446 l=[::1]:3000 r=105.112.126.129:26896
t=2026-01-10T13:10:52+0100 lvl=info msg="join connections" obj=join id=32cde04ae47c l=[::1]:3000 r=105.112.126.129:26896
t=2026-01-10T13:11:35+0100 lvl=info msg="join connections" obj=join id=9d4ad4ebb18d l=[::1]:3000 r=105.112.126.129:26896
t=2026-01-10T13:11:35+0100 lvl=info msg="join connections" obj=join id=cc7f6ab39d58 l=[::1]:3000 r=105.112.126.129:26896
t=2026-01-10T13:12:17+0100 lvl=info msg="join connections" obj=join id=944c65532e7e l=[::1]:3000 r=105.112.126.129:26896
t=2026-01-10T13:17:30+0100 lvl=info msg="join connections" obj=join id=25a8ab7ee478 l=[::1]:3000 r=105.112.10.109:25376
t=2026-01-10T13:20:29+0100 lvl=eror msg="heartbeat timeout, terminating session" obj=tunnels.session obj=csess id=cfc4d0c406ab clientid=04872acab69f6381be5a737dca873b47
t=2026-01-10T13:20:29+0100 lvl=eror msg="session closed, starting reconnect loop" obj=tunnels.session obj=csess id=7cf105f755aa err="session closed"
t=2026-01-10T13:20:30+0100 lvl=info msg="client session established" obj=tunnels.session
t=2026-01-10T13:20:30+0100 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-01-10T13:21:30+0100 lvl=info msg="join connections" obj=join id=6246ce0a9e8f l=[::1]:3000 r=105.112.10.109:25389
t=2026-01-10T13:27:51+0100 lvl=info msg="join connections" obj=join id=25f06e5650f0 l=[::1]:3000 r=102.90.79.239:16364
t=2026-01-10T13:27:52+0100 lvl=info msg="join connections" obj=join id=db9b6df00d70 l=[::1]:3000 r=102.90.79.239:16364
t=2026-01-10T13:27:52+0100 lvl=info msg="join connections" obj=join id=a1b2795120ae l=[::1]:3000 r=102.90.79.239:16364
t=2026-01-10T13:27:52+0100 lvl=info msg="join connections" obj=join id=77fb992aae23 l=[::1]:3000 r=102.90.79.239:16364
t=2026-01-10T13:27:52+0100 lvl=info msg="join connections" obj=join id=058961e9fd2f l=[::1]:3000 r=102.90.79.239:16364
t=2026-01-10T13:27:52+0100 lvl=info msg="join connections" obj=join id=78ba0f01a67c l=[::1]:3000 r=102.90.79.239:16364
